Date,Stock,Volatility
2016-06-13,AXISBANK.NS,1.687501155060367
2016-06-14,AXISBANK.NS,1.7136548441492783
2016-06-15,AXISBANK.NS,1.661229730837474
2016-06-16,AXISBANK.NS,1.611019632204538
2016-06-17,AXISBANK.NS,1.5914635132129034
2016-06-20,AXISBANK.NS,1.5516511974580944
2016-06-21,AXISBANK.NS,1.5296635864416348
2016-06-22,AXISBANK.NS,1.5155286174060538
2016-06-23,AXISBANK.NS,1.477812699366012
2016-06-24,AXISBANK.NS,1.5228912575746398
2016-06-27,AXISBANK.NS,1.700433439574038
2016-06-28,AXISBANK.NS,1.6549005427057557
2016-06-29,AXISBANK.NS,1.6044026326784162
2016-06-30,AXISBANK.NS,1.5659354598338036
2016-07-01,AXISBANK.NS,1.7065629560610538
2016-07-04,AXISBANK.NS,1.7083828766657432
2016-07-05,AXISBANK.NS,1.653046547619371
2016-07-07,AXISBANK.NS,1.6187447784341529
2016-07-08,AXISBANK.NS,1.6075155369174388
2016-07-11,AXISBANK.NS,1.5695361457026533
2016-07-12,AXISBANK.NS,1.5302534367172544
2016-07-13,AXISBANK.NS,1.6806588364129424
2016-07-14,AXISBANK.NS,1.643145754728596
2016-07-15,AXISBANK.NS,1.5980615327018226
2016-07-18,AXISBANK.NS,1.5634710619492314
2016-07-19,AXISBANK.NS,1.5394144494619189
2016-07-20,AXISBANK.NS,1.5246160526034578
2016-07-21,AXISBANK.NS,1.5286116615322511
2016-07-22,AXISBANK.NS,1.788244693461025
2016-07-25,AXISBANK.NS,1.7276456824407311
2016-07-26,AXISBANK.NS,1.6708445122084934
2016-07-27,AXISBANK.NS,1.7816681022553318
2016-07-28,AXISBANK.NS,1.7417034845278092
2016-07-29,AXISBANK.NS,1.705833914431691
2016-08-01,AXISBANK.NS,1.6526345991713982
2016-08-02,AXISBANK.NS,1.611884615486849
2016-08-03,AXISBANK.NS,1.5655114686687421
2016-08-04,AXISBANK.NS,1.5216366611844439
2016-08-05,AXISBANK.NS,1.4854231702230765
2016-08-08,AXISBANK.NS,1.719673843539148
2016-08-09,AXISBANK.NS,1.67036950395027
2016-08-10,AXISBANK.NS,1.6213073174132453
2016-08-11,AXISBANK.NS,1.604293303234703
2016-08-12,AXISBANK.NS,1.5577450386763898
2016-08-16,AXISBANK.NS,1.7933144810559232
2016-08-17,AXISBANK.NS,1.7723167850137067
2016-08-18,AXISBANK.NS,1.730651891024924
2016-08-19,AXISBANK.NS,1.6789460492131094
2016-08-22,AXISBANK.NS,1.6429223228820105
2016-08-23,AXISBANK.NS,1.6433412489282202
2016-08-24,AXISBANK.NS,1.5944527471973002
2016-08-25,AXISBANK.NS,1.5476935229759277
2016-08-26,AXISBANK.NS,1.5087685103795043
2016-08-29,AXISBANK.NS,1.4691766673836402
2016-08-30,AXISBANK.NS,1.4353727516505639
2016-08-31,AXISBANK.NS,1.4025175430992314
2016-09-01,AXISBANK.NS,1.3895871548859453
2016-09-02,AXISBANK.NS,1.3598614928448056
2016-09-06,AXISBANK.NS,1.3346610734186446
2016-09-07,AXISBANK.NS,2.0661978172516746
2016-09-08,AXISBANK.NS,2.0432802347506613
2016-09-09,AXISBANK.NS,1.9698460454631455
2016-09-12,AXISBANK.NS,2.0270137298752378
2016-09-14,AXISBANK.NS,2.164652909537679
2016-09-15,AXISBANK.NS,2.116439476501146
2016-09-16,AXISBANK.NS,2.1212180788036905
2016-09-19,AXISBANK.NS,2.1169327327075846
2016-09-20,AXISBANK.NS,2.0675494724490147
2016-09-21,AXISBANK.NS,1.988932112025422
2016-09-22,AXISBANK.NS,1.9280165943746712
2016-09-23,AXISBANK.NS,1.8887925109763144
2016-09-26,AXISBANK.NS,2.407029045510061
