Year,Inflation_%,GDP_Growth_%,NIFTY_Return_%,NIFTY_Volatility_%,USD_INR,Company,Stock,NC_Bn,CCG_%,TCV_Bn,AR_Bn,Bank,ROE,NIM,NPA,CASA,CAR,Revenue_Growth,NII_Growth,PE_Ratio,Inflation_Rate,GDP_Growth,NIFTY_Return,NIFTY_Volatility,Revenue_Growth_%,EBITDA_Margin_%,Debt_Equity_Ratio,ROCE_%
2022,5.973907718,8.643374213,132.3784379,17.29203885,93.11750031,GAIL,,,,,,,,,,,,,,10.73,,,,,-4.5,8.65,25.37,15.14
2023,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,GAIL,,,,,,,,,,,,,,10.73,,,,,-4.5,8.65,25.37,15.14
2024,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,GAIL,,,,,,,,,,,,,,10.73,,,,,-4.5,8.65,25.37,15.14
2025,5.649143189,9.19075493,235.3689405,11.83212225,93.09750366,GAIL,,,,,,,,,,,,,,10.73,,,,,-4.5,8.65,25.37,15.14
2016,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,,,,,,,,,,,,,,9.45,,,,,0.8,14.86,43.8,10.85
2017,4.443521404,7.355078423,35.15973534,9.045418548,93.16000366,ONGC,,,,,,,,,,,,,,9.45,,,,,0.8,14.86,43.8,10.85
2018,3.938826467,6.453851345,39.4189683,12.90725341,93.16500092,ONGC,,,,,,,,,,,,,,9.45,,,,,0.8,14.86,43.8,10.85
2019,3.729505735,7.001232062,56.17997639,13.95912686,93.15750122,ONGC,,,,,,,,,,,,,,9.45,,,,,0.8,14.86,43.8,10.85
2020,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,,,,,,,,,,,,,,9.45,,,,,0.8,14.86,43.8,10.85
2021,6.298672247,8.095993496,122.7362727,15.69620802,93.13249969,ONGC,,,,,,,,,,,,,,9.45,,,,,0.8,14.86,43.8,10.85
2022,5.973907718,8.643374213,132.3784379,17.29203885,93.11750031,ONGC,,,,,,,,,,,,,,9.45,,,,,0.8,14.86,43.8,10.85
2023,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,,,,,,,,,,,,,,9.45,,,,,0.8,14.86,43.8,10.85
2024,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,,,,,,,,,,,,,,9.45,,,,,0.8,14.86,43.8,10.85
2025,5.649143189,9.19075493,235.3689405,11.83212225,93.09750366,ONGC,,,,,,,,,,,,,,9.45,,,,,0.8,14.86,43.8,10.85
2016,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,RELIANCE,,,,,,,,,,,,,,21.81,,,,,10.4,16.44,35.65,8.56
2017,4.443521404,7.355078423,35.15973534,9.045418548,93.16000366,RELIANCE,,,,,,,,,,,,,,21.81,,,,,10.4,16.44,35.65,8.56
2018,3.938826467,6.453851345,39.4189683,12.90725341,93.16500092,RELIANCE,,,,,,,,,,,,,,21.81,,,,,10.4,16.44,35.65,8.56
2019,3.729505735,7.001232062,56.17997639,13.95912686,93.15750122,RELIANCE,,,,,,,,,,,,,,21.81,,,,,10.4,16.44,35.65,8.56
2020,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,RELIANCE,,,,,,,,,,,,,,21.81,,,,,10.4,16.44,35.65,8.56
2021,6.298672247,8.095993496,122.7362727,15.69620802,93.13249969,RELIANCE,,,,,,,,,,,,,,21.81,,,,,10.4,16.44,35.65,8.56
2022,5.973907718,8.643374213,132.3784379,17.29203885,93.11750031,RELIANCE,,,,,,,,,,,,,,21.81,,,,,10.4,16.44,35.65,8.56
2023,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,RELIANCE,,,,,,,,,,,,,,21.81,,,,,10.4,16.44,35.65,8.56
2024,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,RELIANCE,,,,,,,,,,,,,,21.81,,,,,10.4,16.44,35.65,8.56
2025,5.649143189,9.19075493,235.3689405,11.83212225,93.09750366,RELIANCE,,,,,,,,,,,,,,21.81,,,,,10.4,16.44,35.65,8.56
2016,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,TATAPOWER,,,,,,,,,,,,,,31.61,,,,,-9.4,20.63,156.16,9.6
2017,4.443521404,7.355078423,35.15973534,9.045418548,93.16000366,TATAPOWER,,,,,,,,,,,,,,31.61,,,,,-9.4,20.63,156.16,9.6
2018,3.938826467,6.453851345,39.4189683,12.90725341,93.16500092,TATAPOWER,,,,,,,,,,,,,,31.61,,,,,-9.4,20.63,156.16,9.6
2019,3.729505735,7.001232062,56.17997639,13.95912686,93.15750122,TATAPOWER,,,,,,,,,,,,,,31.61,,,,,-9.4,20.63,156.16,9.6
2020,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,TATAPOWER,,,,,,,,,,,,,,31.61,,,,,-9.4,20.63,156.16,9.6
2021,6.298672247,8.095993496,122.7362727,15.69620802,93.13249969,TATAPOWER,,,,,,,,,,,,,,31.61,,,,,-9.4,20.63,156.16,9.6
2022,5.973907718,8.643374213,132.3784379,17.29203885,93.11750031,TATAPOWER,,,,,,,,,,,,,,31.61,,,,,-9.4,20.63,156.16,9.6
2023,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,TATAPOWER,,,,,,,,,,,,,,31.61,,,,,-9.4,20.63,156.16,9.6
2024,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,TATAPOWER,,,,,,,,,,,,,,31.61,,,,,-9.4,20.63,156.16,9.6
2025,5.649143189,9.19075493,235.3689405,11.83212225,93.09750366,TATAPOWER,,,,,,,,,,,,,,31.61,,,,,-9.4,20.63,156.16,9.6
