Date,Year,Stock,open,high,low,close,Return,Inflation_%,GDP_Growth_%,NIFTY_Return_%,NIFTY_Volatility_%,USD_INR,Company,SECTOR,PE_Ratio,Revenue_Growth_%,EBITDA_Margin_%,Debt_Equity_Ratio,ROCE_%
2016-01-01,2016,GAIL.NS,47.58240421,47.8934821,46.7507432,46.9475441,,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,GAIL,ENERGY,10.73,-4.5,8.65,25.37,15.14
2016-01-04,2016,GAIL.NS,46.94756498,47.60781855,45.52549029,45.6842041,-0.02690960775,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,GAIL,ENERGY,10.73,-4.5,8.65,25.37,15.14
2016-01-05,2016,GAIL.NS,45.92544397,47.5506741,45.9127448,47.26498413,0.0346023327,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,GAIL,ENERGY,10.73,-4.5,8.65,25.37,15.14
2016-01-06,2016,GAIL.NS,47.22689622,48.37598499,46.72535655,47.32212448,0.001208936201,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,GAIL,ENERGY,10.73,-4.5,8.65,25.37,15.14
2016-01-07,2016,GAIL.NS,46.5349015,47.6078108,46.4523724,47.05548477,-0.005634567602,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,GAIL,ENERGY,10.73,-4.5,8.65,25.37,15.14
2016-01-08,2016,GAIL.NS,47.78557301,47.78557301,47.12532464,47.3856163,0.007015792789,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,GAIL,ENERGY,10.73,-4.5,8.65,25.37,15.14
2016-01-11,2016,GAIL.NS,47.19514871,47.58875574,46.49680816,46.89041519,-0.01045045205,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,GAIL,ENERGY,10.73,-4.5,8.65,25.37,15.14
2016-01-12,2016,GAIL.NS,46.89041867,47.48718659,46.34444226,46.45236969,-0.00934189855,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,GAIL,ENERGY,10.73,-4.5,8.65,25.37,15.14
2016-01-13,2016,GAIL.NS,46.66822158,47.55067433,45.53183194,46.07780838,-0.008063341274,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,GAIL,ENERGY,10.73,-4.5,8.65,25.37,15.14
2016-01-14,2016,GAIL.NS,45.81116195,46.34443915,44.98585038,45.39850616,-0.01474250272,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,GAIL,ENERGY,10.73,-4.5,8.65,25.37,15.14
2016-01-15,2016,GAIL.NS,45.34137082,45.37946316,42.35754948,42.64323425,-0.06069080559,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,GAIL,ENERGY,10.73,-4.5,8.65,25.37,15.14
2016-01-18,2016,GAIL.NS,42.53531912,44.58590452,41.78618946,43.1003418,0.0107193451,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,GAIL,ENERGY,10.73,-4.5,8.65,25.37,15.14
2016-01-19,2016,GAIL.NS,43.20826,44.33830002,42.8654367,43.54473114,0.01031057585,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,GAIL,ENERGY,10.73,-4.5,8.65,25.37,15.14
2016-01-20,2016,GAIL.NS,43.22096142,44.24942629,42.28137525,43.00511169,-0.0123923017,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,GAIL,ENERGY,10.73,-4.5,8.65,25.37,15.14
2016-01-21,2016,GAIL.NS,43.55107389,44.41447773,42.70036922,43.23364639,0.005314128704,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,GAIL,ENERGY,10.73,-4.5,8.65,25.37,15.14
