Date,Year,Stock,open,high,low,close,Return,Inflation_%,GDP_Growth_%,NIFTY_Return_%,NIFTY_Volatility_%,USD_INR,Company,NC_Bn,CCG_%,TCV_Bn,AR_Bn,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
2016-01-01,2016,ONGC.NS,93.64635038036559,95.01259260538271,92.94371177705779,94.6612777709961,,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-01-04,2016,ONGC.NS,94.07573323752375,95.55908023586456,91.98733069254729,92.92417907714844,-0.01835067870148588,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-01-05,2016,ONGC.NS,93.6854091405854,95.34441861593766,93.31457225400884,94.4075698852539,0.015963453461062205,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-01-06,2016,ONGC.NS,94.46609826219965,94.5832121469025,91.59698677767985,92.72901916503906,-0.017779831874234375,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-01-07,2016,ONGC.NS,90.17217863490063,91.30421091036833,87.45920735209151,88.4546127319336,-0.046095671792860005,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-01-08,2016,ONGC.NS,89.00112745312049,90.48448374678917,88.08379186667361,89.84039306640625,0.01566656946056999,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-01-11,2016,ONGC.NS,88.2204066188374,88.7083483510611,86.71753750643525,88.02522277832031,-0.020204389430311553,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-01-12,2016,ONGC.NS,87.43969869543184,87.5568125863731,85.87828140761721,86.40525817871094,-0.018403413799804147,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-01-13,2016,ONGC.NS,87.04934092483406,87.42017772033104,84.92190313938214,87.12741088867188,0.008357740317925133,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-01-14,2016,ONGC.NS,86.2491208814352,88.02523511105461,84.55106769061102,87.14693450927734,0.00022408126680617535,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-01-15,2016,ONGC.NS,87.5958370379541,87.5958370379541,85.01948363417051,85.66357421875,-0.017021370847754014,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-01-18,2016,ONGC.NS,84.70720336511367,85.09755317090921,82.46265177638472,83.69227600097656,-0.023012093947183954,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-01-19,2016,ONGC.NS,84.16072364732871,85.644071112327,82.56026227969467,85.09757232666016,0.016791230837923443,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-01-20,2016,ONGC.NS,83.57519015668305,83.96554005167594,81.66243993307229,83.26290130615234,-0.021559616453747266,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-01-21,2016,ONGC.NS,83.3995151280132,83.8289088795501,80.393776736325,80.9207534790039,-0.0281295485793428,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-01-22,2016,ONGC.NS,82.73589042047091,84.70718784953152,81.89662508993489,84.41442108154297,0.04317393811027159,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-01-25,2016,ONGC.NS,86.03440498619321,86.366206766837,84.53153599515163,85.74163818359375,0.01572263465230317,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-01-27,2016,ONGC.NS,85.76115499333788,86.56138548039297,84.70720160505478,85.25370025634766,-0.005690793150013085,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-01-28,2016,ONGC.NS,85.09756604494046,86.19056353559141,84.02409051479988,85.83924865722656,0.006868304825693672,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-01-29,2016,ONGC.NS,86.38575410557415,88.94257718960982,86.26864020249616,88.31800842285156,0.028876764468468208,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-01,2016,ONGC.NS,88.92306207505739,88.92306207505739,86.4833350822884,87.8495864868164,-0.005303809997531106,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-02,2016,ONGC.NS,86.7370475496902,87.5958349755767,84.08263318138835,84.53153991699219,-0.03776963219197571,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-03,2016,ONGC.NS,83.41903667121068,84.70721805737088,82.09182923223628,83.16531372070312,-0.016162324708986264,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-04,2016,ONGC.NS,85.05854319620376,86.07347085871365,84.414461360024,85.8782958984375,0.03262155887303542,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-05,2016,ONGC.NS,85.99538393158619,86.60043065650297,84.92190845976067,85.85875701904297,-0.00022751824765643303,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-08,2016,ONGC.NS,85.87828602825846,85.95635600339615,82.61881542631161,83.5556640625,-0.0268242056664314,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-09,2016,ONGC.NS,82.32603628833562,85.70261134998752,82.16988742678544,85.15611267089844,0.01915428027956656,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-10,2016,ONGC.NS,83.47757690784846,84.31684236966359,82.28699663021354,83.34095001220703,-0.02131570596354526,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-11,2016,ONGC.NS,83.45807408775195,83.49710907205936,78.09067886740024,79.30078125,-0.04847759428726528,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-12,2016,ONGC.NS,78.07115809490809,78.07115809490809,73.28930096827075,75.4362564086914,-0.048732493935027876,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-15,2016,ONGC.NS,77.52465334619174,78.53958074379983,75.98274922611347,78.20777893066406,0.03673992658062675,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-16,2016,ONGC.NS,79.49594787998768,80.45231829757084,77.32947520602028,78.0516357421875,-0.0019965173619748144,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-17,2016,ONGC.NS,78.07115202686266,78.85186953326951,76.9781546655208,78.20777893066406,0.002000511417753259,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-18,2016,ONGC.NS,79.49595981404278,82.20893155312378,79.24222793715109,81.62339782714844,0.04367364657564976,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-19,2016,ONGC.NS,80.78414099254859,82.79447426556679,80.41330411711851,82.42363739013672,0.009804046196201233,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-22,2016,ONGC.NS,82.75541859799856,83.96552086503344,82.24795491593,83.69227600097656,0.015391684363976532,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-23,2016,ONGC.NS,84.19975666149843,85.01950035350058,82.69688726980372,83.7703628540039,0.0009330234133724247,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-24,2016,ONGC.NS,83.0677163859131,83.0677163859131,81.27208028091273,81.74050903320312,-0.024231169015448084,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-25,2016,ONGC.NS,82.91155226817058,85.01946763696853,81.81855514307564,84.41442108154297,0.0327122020643853,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-26,2016,ONGC.NS,84.86333376264422,85.31224045619243,83.57516167903051,84.33635711669922,-0.000924770481673276,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-02-29,2016,ONGC.NS,84.80479632982244,86.30766559534119,75.14349007954385,75.76805877685547,-0.10159673280632087,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-03-01,2016,ONGC.NS,75.68998872612481,75.68998872612481,73.60158575068587,74.75313568115234,-0.013395131300541485,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-03-02,2016,ONGC.NS,75.88518080021738,77.0172133606503,74.98735817592795,76.09986877441406,0.018015740490218368,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-03-03,2016,ONGC.NS,76.70491976426098,78.40296403255626,75.6314442215657,76.97816467285156,0.011541358908792265,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-03-04,2016,ONGC.NS,78.03210973830726,79.78871056143794,77.6807949344014,78.34439849853516,0.017748329431988008,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-03-08,2016,ONGC.NS,79.14465116859485,80.54992864772976,78.46152545634344,78.79332733154297,0.005730196945940014,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-03-09,2016,ONGC.NS,78.85187871461032,80.41329604016273,78.57862487519044,80.12052917480469,0.01684408931834014,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-03-10,2016,ONGC.NS,81.56483995620826,81.56483995620826,79.76920400923186,80.29618072509766,0.002192341364966932,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-03-11,2016,ONGC.NS,81.03786479648014,81.03786479648014,78.9299487256043,80.06198120117188,-0.0029166956860325888,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-03-14,2016,ONGC.NS,80.99882099594842,81.58435466323125,80.31570434047491,81.29158782958984,0.015358183871672315,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2016-03-15,2016,ONGC.NS,80.41328678005458,81.15496930554492,80.04244998457673,80.95978546142578,-0.004081632269991031,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
